split,model,seed,accuracy,precision,recall,f1,positive_rate_pred,positive_rate_true,n_samples,threshold,coverage,auc
test_main,RF,4,0.82975,0.9661240651121865,0.7842857142857143,0.8657599053814311,0.56825,0.7,4000,0.36000000000000004,1.0,0.9024255952380953
test_main,RF,5,0.8275,0.9639401934916447,0.7828571428571428,0.8640126133228222,0.5685,0.7,4000,0.36000000000000004,1.0,0.8994933035714285
test_main,RF,6,0.83075,0.9645514223194749,0.7871428571428571,0.8668633235004917,0.57125,0.7,4000,0.36000000000000004,1.0,0.9023761904761904
test_main,RF,7,0.82625,0.970917225950783,0.775,0.8619662363455809,0.55875,0.7,4000,0.38,1.0,0.9022322916666666
test_main,RF,8,0.8275,0.9631255487269534,0.7835714285714286,0.8641197321780228,0.5695,0.7,4000,0.36000000000000004,1.0,0.9019050595238096
test_main,RF,9,0.8295,0.9698314108251996,0.7807142857142857,0.8650573802928374,0.5635,0.7,4000,0.38,1.0,0.9022221726190477
test_main,XGB,0,0.82925,0.9710725411659991,0.7792857142857142,0.8646720824252031,0.56175,0.7,4000,0.32,1.0,0.9033571428571427
test_main,XGB,1,0.83575,0.974745237040319,0.7857142857142857,0.8700810757366028,0.56425,0.7,4000,0.32,1.0,0.8995385416666666
test_main,XGB,2,0.8325,0.9683377308707124,0.7864285714285715,0.8679542767047694,0.5685,0.7,4000,0.31,1.0,0.905339880952381
test_main,XGB,3,0.8335,0.9607081174438687,0.7946428571428571,0.8698201720093823,0.579,0.7,4000,0.29000000000000004,1.0,0.8998842261904763
test_main,XGB,4,0.83075,0.9732501114578689,0.7796428571428572,0.8657545112036487,0.56075,0.7,4000,0.32,1.0,0.9006529761904762
test_main,XGB,5,0.83325,0.9737894269213683,0.7828571428571428,0.8679469411997625,0.56275,0.7,4000,0.32,1.0,0.8991563988095239
test_main,XGB,6,0.83525,0.9726269315673289,0.7867857142857143,0.8698914116485686,0.56625,0.7,4000,0.31,1.0,0.9009175595238096
test_main,XGB,7,0.8355,0.9664634146341463,0.7925,0.8708791208791209,0.574,0.7,4000,0.3,1.0,0.900527380952381
test_main,XGB,8,0.831,0.977088948787062,0.7767857142857143,0.86549940310386,0.5565,0.7,4000,0.33,1.0,0.9004821428571428
test_main,XGB,9,0.83475,0.9734395750332006,0.7853571428571429,0.8693417671476577,0.56475,0.7,4000,0.31,1.0,0.9012379464285716
test_main,TCN,0,0.806,0.9003164556962026,0.8128571428571428,0.8543543543543544,0.632,0.7,4000,0.01,1.0,0.8957241071428572
test_main,TCN,1,0.78225,0.9657170449058425,0.7142857142857143,0.8211866146581811,0.51775,0.7,4000,0.38,1.0,0.8788107142857142
test_main,TCN,2,0.834,0.931340872374798,0.8235714285714286,0.8741470811220622,0.619,0.7,4000,0.01,1.0,0.9053842261904761
test_main,TCN,3,0.8175,0.9438250428816467,0.7860714285714285,0.857755261106781,0.583,0.7,4000,0.02,1.0,0.8830806547619047
test_main,TCN,4,0.831,0.9439799331103679,0.8064285714285714,0.8697996918335902,0.598,0.7,4000,0.02,1.0,0.903186755952381
test_main,TCN,5,0.8275,0.9623137598597721,0.7842857142857143,0.8642266824085005,0.5705,0.7,4000,0.23,1.0,0.9117660714285714
test_main,TCN,6,0.7865,0.9974437627811861,0.6967857142857142,0.8204373423044575,0.489,0.7,4000,0.46,1.0,0.8822000000000001
test_main,TCN,7,0.814,0.9685505925250684,0.7589285714285714,0.8510212254705647,0.5485,0.7,4000,0.04,1.0,0.8954711309523811
test_main,TCN,8,0.76825,0.9717884130982368,0.6889285714285714,0.806269592476489,0.49625,0.7,4000,0.27,1.0,0.8532803571428572
test_main,TCN,9,0.85025,0.9602676704307821,0.82,0.884607975341938,0.59775,0.7,4000,0.01,1.0,0.9152910714285715
test_cost,RF,0,0.79,0.9711538461538461,0.7214285714285714,0.8278688524590164,0.52,0.7,400,0.4,1.0,0.8539583333333333
test_cost,RF,1,0.7875,0.9620853080568721,0.725,0.8268839103869654,0.5275,0.7,400,0.38,1.0,0.8494940476190477
test_cost,RF,2,0.7875,0.9620853080568721,0.725,0.8268839103869654,0.5275,0.7,400,0.38,1.0,0.8672619047619048
test_cost,RF,3,0.7875,0.9577464788732394,0.7285714285714285,0.8275862068965517,0.5325,0.7,400,0.38,1.0,0.8563541666666667
