dataset,q,seed,f1,recall,precision,roc_auc,gray_ratio,llm_call_rate,shortcut_filter_rate,xgb_shortcut_rate,instability,worst_case_recall,prr,ensemble_entropy_mean,model_discrepancy_mean,llm_calls,billed_llm_calls,cache_hits,cache_hit_rate,prompt_tokens,completion_tokens,total_tokens,cost_usd,avg_cost_per_call_usd,billed_prompt_tokens,billed_completion_tokens,billed_total_tokens,billed_cost_usd,billed_avg_cost_per_call_usd,llm_only_latency_ms,llm_only_avg_latency_ms_per_sample,billed_llm_only_latency_ms,billed_llm_only_avg_latency_ms_per_sample,uses_actual_api_usage,base_latency_ms,routing_feature_latency_ms,routing_overhead_ms,mode_wall_latency_ms,total_latency_ms,avg_latency_ms_per_sample,tau,gray_margin,entropy_threshold,discrepancy_threshold,mode
val,0.6,3,0.9015990896568246,0.8344789356984479,0.980461117624072,0.8957253774563547,0.0,0.0,0.0,0.0,0.0041562505260768,0.0,1.0,0.3808220284342788,0.0800929548690703,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,7.628209015820175,3.828832996077835,3.828832996077835,2600.8405580127146,0.2059582323418367,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,ensemble_only
val,0.6,4,0.8995575750328829,0.8340354767184035,0.9762522709576952,0.8882012010757077,0.0,0.0,0.0,0.0,0.0043446694364476,0.0,1.0,0.3868820637868209,0.0815039933315976,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,5.973040999379009,3.750417003175244,3.750417003175244,2599.106974003371,0.2058209513781573,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,ensemble_only
val,0.6,5,0.9077157598499062,0.8582039911308204,0.963290194126431,0.9131343688084128,0.0,0.0,0.0,0.0,0.0044175975636103,0.0,1.0,0.3942566887675946,0.0814142940421813,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,5.885999999009073,3.7452499964274466,3.7452499964274466,2599.014765996253,0.2058136495087308,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,ensemble_only
val,0.6,6,0.9009193054136876,0.8311529933481153,0.9834710743801652,0.8850886917960088,0.0,0.0,0.0,0.0,0.0041192388753224,0.0,1.0,0.3800130326617023,0.0768492546124022,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,5.793666001409292,3.713832993526012,3.713832993526012,2598.891014995752,0.2058038497779341,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,ensemble_only
val,0.6,7,0.9047933289339491,0.8360310421286031,0.9858805072558504,0.8882850870939671,0.0,0.0,0.0,0.0,0.0040207484907983,0.0,1.0,0.3767564759733551,0.0782279755599556,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,5.709332996048033,3.941458009649068,3.941458009649068,2599.0343070065137,0.2058151969438164,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,ensemble_only
val,0.6,8,0.9015911137796456,0.8323725055432373,0.983366077275704,0.8834730409388352,0.0,0.0,0.0,0.0,0.0040234567871794,0.0,1.0,0.3822953811852591,0.0780204802432647,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,5.947833007667214,3.6484579904936254,3.6484579904936254,2598.9798069989774,0.2058108811370745,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,ensemble_only
val,0.6,9,0.8994607549430796,0.8321507760532151,0.9786179921773144,0.8869450002704018,0.0,0.0,0.0,0.0,0.0041797430927239,0.0,1.0,0.3797341956060401,0.0797808194556058,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,5.651000014040619,3.823000006377697,3.823000006377697,2598.857516021235,0.2058011970241712,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,ensemble_only
val,0.6,0,0.8895553987297107,0.838470066518847,0.9472695390781564,0.8847839673846245,0.353025023756731,0.0,0.2928413050364269,0.2928413050364269,0.0039761354864374,0.0,1.0,0.3950737457725581,0.0850487596919726,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,7.845916989026591,3.70754100731574,3.70754100731574,2600.936973997159,0.2059658674372156,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,no_llm
val,0.6,1,0.8971863387011149,0.8431263858093127,0.9586537249464264,0.8907670685001549,0.3523123218245169,0.0,0.2906240101362052,0.2906240101362052,0.0038499453115449,0.0,1.0,0.3797202808458657,0.07788207223162,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,5.846041982294992,3.5454999888315797,3.5454999888315797,2598.775057971943,0.2057946672451649,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,no_llm
val,0.6,2,0.8996145864215832,0.841019955654102,0.9669853409815168,0.8958304039803148,0.3572220462464365,0.0,0.2997307570478302,0.2997307570478302,0.0036808177045361,0.0,1.0,0.3778964601857879,0.0770701409409074,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,2589.3835160008166,5.736458988394588,3.632125008152798,3.632125008152798,2598.752099997364,0.205792849223738,0.4100000000000001,0.2564322105611923,0.7228677466422825,1.0,no_llm
